freq_confoc,freq_non_confoc,volt_laser
-1217119585.6636095,-1205041793.868281,0.0035698544
-1216998656.33076,-1204921552.1316752,0.0035698544
-1216877725.1832056,-1204801308.5719304,0.0035698544
-1216756792.2209463,-1204681063.1890473,0.0035698544
-1216635857.4439793,-1204560815.9830222,0.0035698544
-1216514920.8523092,-1204440566.953858,0.0035698544
-1216393982.4459343,-1204320316.1015534,0.0007809098
-1216273042.2248535,-1204200063.4261098,-0.0023798943
-1216152100.1890678,-1204079808.927525,-0.0023798943
-1216031156.3385773,-1203959552.605801,0.0004090504
-1215910210.67338,-1203839294.460936,0.0007809098
-1215789263.1934795,-1203719034.4929338,0.0004090504
-1215668313.8988724,-1203598772.7017894,0.0007809098
-1215547362.7895613,-1203478509.0875058,0.0004090504
-1215426409.8655443,-1203358243.6500812,0.0035698544
-1215305455.1268225,-1203237976.3895202,0.0035698544
-1215184498.5733948,-1203117707.3058162,0.0035698544
-1215063540.2052622,-1202997436.398973,0.0007809098
-1214942580.0224237,-1202877163.6689897,-0.0023798943
-1214821618.0248804,-1202756889.1158652,0.0004090504
-1214700654.212634,-1202636612.7396035,0.0007809098
-1214579688.58568,-1202516334.5401998,0.0004090504
-1214458721.144021,-1202396054.5176578,0.0007809098
-1214337751.887658,-1202275772.6719747,0.0004090504
-1214216780.8165884,-1202155489.0031524,0.0035698544
-1214095807.9308138,-1202035203.511189,0.0035698544
-1213974833.2303362,-1201914916.1960893,0.0035698544
-1213853856.7151508,-1201794627.0578456,0.0035698544
-1213732878.3852615,-1201674336.0964637,0.0035698544
-1213611898.2406664,-1201554043.3119416,0.0035698544
-1213490916.2813683,-1201433748.7042804,0.0035698544
-1213369932.5073614,-1201313452.273478,0.0035698544
-1213248946.9186506,-1201193154.0195365,0.0007809098
-1213127959.515235,-1201072853.9424539,0.0004090504
-1213006970.2971144,-1200952552.042232,0.0007809098
-1212885979.264289,-1200832248.318872,0.0004090504
-1212764986.4167576,-1200711942.7723699,0.0035698544
-1212643991.7545204,-1200591635.4027286,0.0035698544
-1212522995.2775793,-1200471326.209948,0.0035698544
-1212401996.9859314,-1200351015.1940255,0.0007809098
-1212280996.8795805,-1200230702.3549657,0.0004090504
-1212159994.9585238,-1200110387.6927648,0.0035698544
-1212038991.222762,-1199990071.2074237,0.0035698544
-1211917985.6722937,-1199869752.8989434,0.0035698544
-1211796978.3071203,-1199749432.767322,0.0007809098
-1211675969.127243,-1199629110.8125625,-0.0023798943
-1211554958.1326609,-1199508787.0346618,0.0004090504
-1211433945.323371,-1199388461.433621,0.0035698544
-1211312930.699379,-1199268134.009441,0.0035698544
-1211191914.2606792,-1199147804.7621207,0.0035698544
-1211070896.0072775,-1199027473.6916623,0.0007809098
-1210949875.939166,-1198907140.7980618,0.0004090504
-1210828854.0563517,-1198786806.0813222,0.0007809098
-1210707830.3588324,-1198666469.5414424,0.0004090504
-1210586804.846609,-1198546131.1784234,0.0035698544
-1210465777.519679,-1198425790.9922633,0.0035698544
-1210344748.3780441,-1198305448.982964,0.0007809098
-1210223717.4217033,-1198185105.1505246,-0.0023798943
-1210102684.6506567,-1198064759.494945,-0.0023798943
-1209981650.064908,-1197944412.0162272,0.0004090504
-1209860613.6644516,-1197824062.7143664,0.0035698544
-1209739575.4492903,-1197703711.5893693,0.0035698544
-1209618535.419425,-1197583358.641231,0.0035698544
-1209497493.574852,-1197463003.8699508,0.0035698544
-1209376449.915576,-1197342647.2755322,0.0035698544
-1209255404.441595,-1197222288.8579745,0.0007809098
-1209134357.1529083,-1197101928.6172757,0.0004090504
-1209013308.0495157,-1196981566.5534377,0.0035698544
-1208892257.1314182,-1196861202.6664596,0.0035698544
-1208771204.3986158,-1196740836.9563403,0.0063587991
-1208650149.8511095,-1196620469.4230838,0.0067306584
-1208529093.4888945,-1196500100.0666852,0.0007809098
-1208408035.3119774,-1196379728.8871474,0.0004090504
-1208286975.3203545,-1196259355.8844705,0.0035698544
-1208165913.5140266,-1196138981.0586534,0.0007809098
-1208044849.892992,-1196018604.4096951,0.0004090504
-1207923784.4572535,-1195898225.9375987,0.0035698544
-1207802717.206808,-1195777845.6423602,0.0035698544
-1207681648.1416607,-1195657463.5239844,0.0035698544
-1207560577.2618055,-1195537079.5824666,0.0035698544
-1207439504.5672464,-1195416693.8178096,0.0035698544
-1207318430.0579815,-1195296306.2300124,0.0035698544
-1207197353.7340117,-1195175916.819075,0.0035698544
-1207076275.595336,-1195055525.5849986,0.0007809098
-1206955195.6419563,-1194935132.5277839,0.0004090504
-1206834113.873869,-1194814737.6474261,0.0035698544
-1206713030.2910795,-1194694340.9439301,0.0035698544
-1206591944.8935823,-1194573942.417293,0.0035698544
-1206470857.6813822,-1194453542.0675168,0.0007809098
-1206349768.6544771,-1194333139.8946013,0.0004090504
-1206228677.8128633,-1194212735.8985448,0.0035698544
-1206107585.1565466,-1194092330.079349,0.0035698544
-1205986490.685525,-1193971922.4370131,0.0007809098
-1205865394.3997974,-1193851512.9715362,0.0004090504
-1205744296.299366,-1193731101.682922,0.0035698544
-1205623196.3842287,-1193610688.5711665,0.0035698544
-1205502094.6543865,-1193490273.636272,0.0035698544
-1205380991.1098366,-1193369856.8782353,0.0035698544
-1205259885.7505856,-1193249438.2970614,0.0007809098
-1205138778.5766268,-1193129017.8927455,0.0004090504
-1205017669.587964,-1193008595.6652913,0.0035698544
-1204896558.7845945,-1192888171.614695,0.0035698544
-1204775446.166521,-1192767745.7409606,0.0007809098
-1204654331.7337427,-1192647318.044086,0.0004090504
-1204533215.4862576,-1192526888.5240712,0.0035698544
-1204412097.4240675,-1192406457.1809173,0.0035698544
-1204290977.5471735,-1192286024.0146222,0.0035698544
-1204169855.8555737,-1192165589.025189,0.0035698544
-1204048732.3492699,-1192045152.2126155,0.0035698544
-1203927607.0282593,-1191924713.576901,0.0007809098
-1203806479.8925428,-1191804273.1180472,0.0004090504
-1203685350.9421225,-1191683830.8360524,0.0035698544
-1203564220.1769962,-1191563386.7309184,0.0063587991
-1203443087.597166,-1191442940.8026452,0.0067306584
-1203321953.20263,-1191322493.051231,0.0035698544
-1203200816.9933882,-1191202043.4766774,0.0007809098
-1203079678.9694424,-1191081592.0789838,0.0004090504
-1202958539.1307888,-1190961138.85815,0.0007809098
-1202837397.4774332,-1190840683.814178,0.0004090504
-1202716254.0093718,-1190720226.9470649,0.0035698544
-1202595108.7266035,-1190599768.2568126,0.0035698544
-1202473961.6291313,-1190479307.7434192,0.0035698544
-1202352812.7169542,-1190358845.4068866,0.0035698544
-1202231661.9900703,-1190238381.247213,0.0035698544
-1202110509.4484825,-1190117915.2644,0.0063587991
-1201989355.0921888,-1189997447.458448,0.0067306584
-1201868198.9211912,-1189876977.8293557,0.0035698544
-1201747040.9354868,-1189756506.3771224,0.0007809098
-1201625881.1350794,-1189636033.1017509,0.0004090504
-1201504719.5199652,-1189515558.0032392,0.0035698544
-1201383556.090145,-1189395081.0815873,0.0007809098
-1201262390.8456202,-1189274602.3367953,0.0004090504
-1201141223.7863913,-1189154121.7688632,0.0035698544
-1201020054.9124575,-1189033639.377792,0.0007809098
